sno,title,totalCopies,availableCopies
902,Software enginnering,7000,975
903,E-commerce and indian perspective,7001,976
904,Software Testing,7002,977
905,Software Testing,7003,978
906,an introduction to operating system,7004,979
907,an introduction to operating system,7005,980
908,Cyber Laws and IT protection,7006,981
909,Cyber Laws and IT protection,7007,982
910,Cyber Laws and IT protection,7008,983
911,Cyber Laws and IT protection,7009,984
912,Essential of e-commerce technology,7010,985
913,Windows 7 ,7011,986
914,Windows 7 ,7012,987
915,Wireless and Mobile communication ,7013,988
916,Wireless and Mobile communication ,7014,989
917,Operating systems,7015,990
918,Operating systems,7016,991
919,Distributed systems,7017,992
920,System analysis and design,7018,993
921,System analysis and design,7019,994
922,Software enginnering,7020,995
923,Software enginnering,7021,996
924,System analysis and design,7022,997
925,System analysis and design,7023,998
926,Computer Organization and design,7024,999
927,Computer Organization and design,7025,1000
928,Digital image processing,7026,1001
929,Microsoft Office  2010,7027,1002
930,Microsoft Office  2010,7028,1003
931,Computer graphics multimedia and animations,7029,1004
932,Computer graphicss multimedia and animations,7030,1005
933,network security and management,7031,1006
934,Software enginnering,7032,1007
935,Software enginnering,7033,1008
936,computer communication and computer networks,7034,1009
937,Fundamental of computer networks,7035,1010
938,Data base management system,7036,1011
939,Data base management system,7037,1012
940,data structure using c and C++,7038,1013
941,data structure using c and C++,7039,1014
942,Pattern recognition and image analysis,7040,1015
943,Data base management system,7041,1016
944,Data base management system,7042,1017
945,Grid and clustter computing,7043,1018
946,My SQl trouble shooting ,7064,1019
947,automata theory,7072,1020
948,automata theory,7073,1021
949,Microsoft Office 2010,7121,1022
950,Cryptography and security,7122,1023
951,Cryptography and security,7123,1024
952,Cryptography and security,7124,1025
953,Cryptography and security,7125,1026
954,Cryptography and security,7126,1027
955,Cryptography and security,7127,1028
956,Cryptography and security,7128,1029
957,Cryptography and security,7129,1030
958,OOPS,7130,1031
959,OOPS,7131,1032
960,OOPS,7132,1033
961,OOPS,7133,1034
962,adobe photoshop cs 5,7134,1035
963,Advance data base management systems,7135,1036
964,Advance data base management systems,7136,1037
965,Cloud computing,7137,1038
966,Tcp/IP,7138,1039
967,Tcp/IP,7139,1040
968,Tcp/IP,7140,1041
969,Tcp/IP,7141,1042
970,Applied cryptography,7142,1043
971,Algorithms +  data structures = Program,7232,1044
972,Algorithms +  data structures = Program,7233,1045
973,Artificial neural network ,7234,1046
974,Artificial neural network ,7235,1047
975,C++ ,7236,1048
976,C++ ,7237,1049
977,Computer Organization and architecture,7238,1050
978,Computer Organization and architecture,7239,1051
979,Computer Organization and architecture,7240,1052
980,data structure using c and C++,7241,1053
981,data structure using c and C++,7242,1054
982,Digital image processing and analysis,7243,1055
983,Digital image processing and analysis,7244,1056
984,Data Structure in C++,7245,1057
985,Data Structure in C++,7246,1058
986,Pattern recognition and image analysis,7247,1059
987,Pattern recognition and image analysis,7248,1060
988,Digital image processing and pattern recognition,7249,1061
989,Digital image processing and pattern recognition,7250,1062
990,data warehousing in the real world,7251,1063
991,data warehousing in the real world,7252,1064
992,Database systems,7253,1065
993,Database systems,7254,1066
994,database systems the complete book,7255,1067
995,database systems the complete book,7256,1068
996,Distributed systems,7257,1069
997,Distributed systems,7258,1070
